INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-22031531,8700002751,30-Jun-20,34569.99,29-Aug-20,Post,SAR,
ISI-21932721,,16-Dec-19,41842.89,5-Mar-20,Paid,SAR,
ISI-21932932,,31-Dec-19,26435.05,5-Mar-20,Paid,SAR,
ISI-21932877,,29-Dec-19,61319.66,5-Mar-20,Paid,SAR,
ISI-22030066,1710001306,19-Jan-20,30362.85,2-Apr-20,Paid,SAR,
ISI-22030067,1710001306,19-Jan-20,6747.3,2-Apr-20,Paid,SAR,
ISI-21932309,1710001096,27-Oct-19,28348.95,2-Apr-20,Paid,SAR,
ISI-21931405,1710001096,21-Jul-19,2678.68,2-Apr-20,Paid,SAR,
ISI-21932236,1710001215,20-Oct-19,35985.6,2-Apr-20,Paid,SAR,
ISI-21932675,1710001279,9-Dec-19,74220.3,2-Apr-20,Paid,SAR,
ISI-22030359,1710001336,20-Feb-20,74261.25,30-Apr-20,Paid,SAR,
ISI-22030255,1710001336,10-Feb-20,32287.5,30-Apr-20,Paid,SAR,
ISI-22030886,1710001394,18-Apr-20,71032.5,30-Jun-20,Paid,SAR,
ISI-22030960,1710001407,26-Apr-20,53978.4,30-Jun-20,Paid,SAR,
ISI-22030988,1710001407,28-Apr-20,20241.9,28-Jul-20,Paid,SAR,
ISI-22031266,1710001430,7-Jun-20,36829.01,29-Aug-20,Post,SAR,
ISI-21932665,,8-Dec-19,27933.95,5-Mar-20,Paid,SAR,
ISI-21932659,,4-Dec-19,11612.87,5-Mar-20,Paid,SAR,
ISI-22030007,,12-Jan-20,30694.07,2-Apr-20,Paid,SAR,
ISI-22030008,,12-Jan-20,27604.64,2-Apr-20,Paid,SAR,
ISI-21932749,,22-Dec-19,28736.16,5-Mar-20,Paid,SAR,
ISI-21932748,,22-Dec-19,23349.06,5-Mar-20,Paid,SAR,
ISI-21932294,,28-Oct-19,14580.48,13-Feb-20,Paid,SAR,
ISI-22030103,8500002947,23-Jan-20,25336.06,2-Apr-20,Paid,SAR,
ISI-22030069,8500002947,19-Jan-20,26297.76,2-Apr-20,Paid,SAR,
ISI-22030068,,19-Jan-20,21316.01,2-Apr-20,Paid,SAR,
ISI-22030369,8500002947,20-Feb-20,3239.93,30-Apr-20,Paid,SAR,
ISI-22030368,8500002947,20-Feb-20,18416.44,30-Apr-20,Paid,SAR,
ISI-22030372,8500002947,20-Feb-20,28790.7,30-Apr-20,Paid,SAR,
ISI-22030367,8500002947,20-Feb-20,6848.52,30-Apr-20,Paid,SAR,
ISI-22030395,8500002947,24-Feb-20,8182.32,30-Apr-20,Paid,SAR,
ISI-22030371,8500002947,20-Feb-20,20297.02,30-Apr-20,Paid,SAR,
ISI-22030365,8500002947,20-Feb-20,10272.78,30-Apr-20,Paid,SAR,
ISI-21932286,8500002876,27-Oct-19,44989.87,2-Apr-20,Paid,SAR,
